placeId,name,address,lat,lng,types,category,businessStatus,rating,userRatingsTotal
ChIJfdSKIODnNIgR2UT2PEJvW0I,"Inferno Pizza - North Huntingdon, PA","13380 U.S. 30, North Huntingdon",40.34242100000001,-79.760831,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,4.1,567.0
ChIJmzYA6FjdNIgRxTkgQmRA9q4,Rome in Irwin Pizza,"11771 Parkway Drive, North Huntingdon",40.330041,-79.73816920000002,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,,
ChIJUfyBVXbdNIgR9XiUzNFiyAU,Pizza Romani,"11771 Parkway Drive, North Huntingdon",40.330041,-79.73816920000002,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,,
ChIJ3fStZuLnNIgRw0GzEsg2MhQ,The Salvation Army Family Store & Donation Center,"12751 Lincoln Hwy, North Huntingdon",40.3395644,-79.7498322,"store,point_of_interest,establishment",food_bank,OPERATIONAL,3.9,149.0
ChIJlYfkglDdNIgRXVI6SDR7Pso,bp,"11339 Center Highway, Irwin",40.3299294,-79.7322854,"gas_station,supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",grocery,OPERATIONAL,3.6,10.0
ChIJ_0CzglDdNIgRikkXrRQr9Hc,Sunoco,"11339 Center Highway, Irwin",40.32990420000001,-79.73227109999999,"gas_station,convenience_store,store,food,point_of_interest,establishment",convenience,OPERATIONAL,4.0,1.0
ChIJAX-FEVrdNIgR8hftIj6nUgc,Subway,"11440 Lincoln Highway, North Huntingdon",40.3291433,-79.73375709999999,"meal_takeaway,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.8,250.0
ChIJlWUsGsLcNIgRo7rADFXEGE8,Domino's Pizza,"10729 U.S. 30, Irwin",40.3279463,-79.7214572,"meal_takeaway,meal_delivery,restaurant,food,point_of_interest,establishment","fast_food,restaurant",OPERATIONAL,3.7,233.0
ChIJF08WoFDdNIgRWF0gww4pcQU,Jacktown Ride & Hunt Club,"11369 Center Highway, Irwin",40.3298685,-79.73318239999999,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.5,56.0
ChIJNf9PLTndNIgRsgx0B8ErLoU,Fox's Pizza North Huntington,"11322 Center Highway, Irwin",40.3295088,-79.7317719,"restaurant,food,point_of_interest,establishment",restaurant,OPERATIONAL,4.3,120.0
