placeId,name,address,lat,lng,types,category
ChIJS0viUADzNIgRAihy9WIsnvM,Market District Supermarket,"6310 Penn Ave, Pittsburgh, PA 15206, United States",40.4592681,-79.9204218,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJqxxSBv_xNIgRHpqI1G1fn18,Giant Eagle Supermarket,"1901 Murray Ave, Pittsburgh, PA 15217, United States",40.4354495,-79.9226013,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
ChIJSW9ZdrnzNIgRj9BwbOPANKs,Bloomfield Community Market,"4401 Liberty Ave, Pittsburgh, PA 15224, United States",40.4641034,-79.9524886,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ5aPMIDzyNIgRO3Ge-gBPyVc,GetGo Café + Market,"4924 Baum Blvd, Pittsburgh, PA 15213, United States",40.454632,-79.9457596,"gas_station,convenience_store,cafe,point_of_interest,food,store,establishment",grocery
ChIJ1SFXkDryNIgRHIYYeKHReEI,Sultan Bey,"4601 Centre Ave, Pittsburgh, PA 15213, United States",40.4520674,-79.9519992,"grocery_or_supermarket,meal_takeaway,restaurant,point_of_interest,food,store,establishment",grocery
ChIJGxMRWzrzNIgRhjjnKCh_fUY,Forbes Street Market,"University of Pittsburgh, Bruce Hall, 3955 Forbes Ave, Pittsburgh, PA 15213, United States",40.4429165,-79.9550944,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJGU03RBPyNIgRsceo17xVpJc,ALDI,"5631 Baum Blvd, Pittsburgh, PA 15206, United States",40.4582752,-79.934899,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ5RiVf-LzNIgRAPmWlxHiLVU,Oak Hill Market,"504 Oak Hill Dr, Pittsburgh, PA 15213, United States",40.44328489999999,-79.96972749999999,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJ_TZ3jjryNIgRtqpEUTSzkZs,Bombay Food Market,"4605 Centre Ave #1503, Pittsburgh, PA 15213, United States",40.4520774,-79.9516884,"supermarket,grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJqXKGXcLtNIgR1463ucRHX8I,East End Food Co-op,"7516 Meade St, Pittsburgh, PA 15208, United States",40.448231,-79.895472,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJxwo0Xy_zNIgR-GegCQQ9ZcU,Scotty's Market,"5000 Forbes Ave, Pittsburgh, PA 15213, United States",40.4441277,-79.9389034,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJhXPKO7rxNIgR4RL5D_bHgoM,Vendor Bender,"2301 Murray Ave, Pittsburgh, PA 15217, United States",40.4316062,-79.92313639999999,"grocery_or_supermarket,point_of_interest,food,store,establishment",grocery
ChIJe96CpPvzNIgR1XLc9bffY6M,Giant Eagle Supermarket,"318-320 Cedar Ave, Pittsburgh, PA 15212, United States",40.4514915,-79.9999733,"grocery_or_supermarket,supermarket,point_of_interest,food,store,establishment",grocery
